SPEC_NMK_NOTE,SPEC_NMK_NAME,CLASSIF,FORMAT,ZONE,POSITION,NOTE,NAME,QUANTITY,COMMENT
ГТ3660300,Диффузор,Стандартные изделия,"",,86,"",Шайба С 16.04.019 ГОСТ 6958-78,8,""
ГТ3660300,Диффузор,Стандартные изделия,"",,87,"","Шплинт 3,2х18.2.11 ГОСТ 397-79",8,""
ГТ3660300,Диффузор,Стандартные изделия,"",,88,"","Шплинт 3,2х25.019 ГОСТ 397-79",2,""
ГТ3660300,Диффузор,Прочие изделия,"",,99,"","Болт откидной с ушком М12х60, класс прочности 8.8, с гальваническим покрытием DIN 444",4,""
ГТ3660300,Диффузор,Прочие изделия,"",,100,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 1225х225х50 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,101,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 1425х220х50 ТУ 576990-003-12881589-01,4,""
ГТ3660300,Диффузор,Прочие изделия,"",,102,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 1515х225х50 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,103,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 1915х220х50 ТУ 576990-003-12881589-01,4,""
ГТ3660300,Диффузор,Прочие изделия,"",,104,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 525х200х50 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,105,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 950х200х50 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,106,"",Мат базальтовый звукопоглощающий БЗМ-ЛС(К) 950х390х80 ТУ 576990-003-12881589-01,8,""
ГТ3660300,Диффузор,Прочие изделия,"",,107,"",Мат базальтовый звукопоглощающий ГТ3660876 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,108,"",Мат базальтовый звукопоглощающий ГТ3660877 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,109,"",Мат базальтовый звукопоглощающий ГТ3660878 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,110,"",Мат базальтовый звукопоглощающий ГТ3660879 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,111,"",Мат базальтовый звукопоглощающий ГТ3661044 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,112,"",Мат базальтовый звукопоглощающий ГТ3661045 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,113,"",Мат базальтовый звукопоглощающий ГТ3661046 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,114,"",Мат базальтовый звукопоглощающий ГТ3661047 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,115,"",Мат базальтовый звукопоглощающий ГТ3661048 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,116,"",Мат базальтовый звукопоглощающий ГТ3661049 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,117,"",Мат базальтовый звукопоглощающий ГТ3661051 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,118,"",Мат базальтовый звукопоглощающий ГТ3661052 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,119,"",Мат базальтовый звукопоглощающий ГТ3661053 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,120,"",Мат базальтовый звукопоглощающий ГТ3661054 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,121,"",Мат базальтовый звукопоглощающий ГТ3661055 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,122,"",Мат базальтовый звукопоглощающий ГТ3661056 ТУ 576990-003-12881589-01,4,""
ГТ3660300,Диффузор,Прочие изделия,"",,123,"",Мат базальтовый звукопоглощающий ГТ3661057 ТУ 576990-003-12881589-01,4,""
ГТ3660300,Диффузор,Прочие изделия,"",,124,"",Мат базальтовый звукопоглощающий ГТ3661058 ТУ 576990-003-12881589-01,4,""
ГТ3660300,Диффузор,Прочие изделия,"",,125,"",Мат базальтовый звукопоглощающий ГТ3661059 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,126,"",Мат базальтовый звукопоглощающий ГТ3661061 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,127,"",Мат базальтовый звукопоглощающий ГТ3661062 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,128,"",Мат базальтовый звукопоглощающий ГТ3661063 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,129,"",Мат базальтовый звукопоглощающий ГТ3661064 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,130,"",Мат базальтовый звукопоглощающий ГТ3661065 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,131,"",Мат базальтовый звукопоглощающий ГТ3661066 ТУ 576990-003-12881589-01,2,""
ГТ3660300,Диффузор,Прочие изделия,"",,132,"",Ручка коническая М12 N100 с гальваническим покрытием DIN 99,4,""
ГТ3660300,Диффузор,Материалы ,"",,143,"",Мат минераловатный теплоизоляционный Тех Мат ТУ 5762-050-45757203-15 S=80,3.1,""
ГТ3660300,Диффузор,Материалы ,"",,144,"","Профиль из микропористой резины, самоклеящийся Dirak 269-4010",10,"*) А3, 2000x2000 "
